dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.503408
Wikipedia (en),Loss,10,160m,0.515276
Wikipedia (en),Loss,20,160m,0.5097725
Wikipedia (en),Loss,30,160m,0.5001745000000001
Wikipedia (en),Loss,40,160m,0.5156465
Wikipedia (en),Loss,50,160m,0.5027825
Wikipedia (en),Loss,60,160m,0.5006285
Wikipedia (en),Loss,70,160m,0.5259175
Wikipedia (en),Loss,80,160m,0.515209
Wikipedia (en),Loss,90,160m,0.5135419999999999
Wikipedia (en),Loss,0,410m,0.50317
Wikipedia (en),Loss,10,410m,0.5131779999999999
Wikipedia (en),Loss,20,410m,0.5033385
Wikipedia (en),Loss,30,410m,0.500664
Wikipedia (en),Loss,40,410m,0.5142135000000001
Wikipedia (en),Loss,50,410m,0.50283
Wikipedia (en),Loss,60,410m,0.5025514999999999
Wikipedia (en),Loss,70,410m,0.5254495
Wikipedia (en),Loss,80,410m,0.5163465
Wikipedia (en),Loss,90,410m,0.514338
Wikipedia (en),Loss,0,1b,0.503043
Wikipedia (en),Loss,10,1b,0.5120285
Wikipedia (en),Loss,20,1b,0.5031844999999999
Wikipedia (en),Loss,30,1b,0.5008165
Wikipedia (en),Loss,40,1b,0.5109685
Wikipedia (en),Loss,50,1b,0.5079025
Wikipedia (en),Loss,60,1b,0.5009215
Wikipedia (en),Loss,70,1b,0.5288225
Wikipedia (en),Loss,80,1b,0.517972
Wikipedia (en),Loss,90,1b,0.5196405
Wikipedia (en),Loss,0,2.8b,0.5030859999999999
Wikipedia (en),Loss,10,2.8b,0.5035095
Wikipedia (en),Loss,20,2.8b,0.512415
Wikipedia (en),Loss,30,2.8b,0.507896
Wikipedia (en),Loss,40,2.8b,0.50247
Wikipedia (en),Loss,50,2.8b,0.5214155
Wikipedia (en),Loss,60,2.8b,0.5029714999999999
Wikipedia (en),Loss,70,2.8b,0.5439075
Wikipedia (en),Loss,80,2.8b,0.5295685
Wikipedia (en),Loss,90,2.8b,0.5359605000000001
Wikipedia (en),Loss,0,6.9b,0.5063565
Wikipedia (en),Loss,10,6.9b,0.5030595
Wikipedia (en),Loss,20,6.9b,0.5123475
Wikipedia (en),Loss,30,6.9b,0.505945
Wikipedia (en),Loss,40,6.9b,0.502354
Wikipedia (en),Loss,50,6.9b,0.521126
Wikipedia (en),Loss,60,6.9b,0.5038885
Wikipedia (en),Loss,70,6.9b,0.5434675
Wikipedia (en),Loss,80,6.9b,0.526523
Wikipedia (en),Loss,90,6.9b,0.5300644999999999
Wikipedia (en),Loss,0,12b,0.503561
Wikipedia (en),Loss,10,12b,0.500686
Wikipedia (en),Loss,20,12b,0.5153365000000001
Wikipedia (en),Loss,30,12b,0.508173
Wikipedia (en),Loss,40,12b,0.5009125
Wikipedia (en),Loss,50,12b,0.5260335
Wikipedia (en),Loss,60,12b,0.506049
Wikipedia (en),Loss,70,12b,0.5484344999999999
Wikipedia (en),Loss,80,12b,0.530094
Wikipedia (en),Loss,90,12b,0.53444
