dataset,feature,length,model_size,auc
Wikipedia (en),Min-K%,80,6.9b,0.520679
Wikipedia (en),Min-K%,90,6.9b,0.5397135000000001
Wikipedia (en),Min-K%,0,12b,0.5272330000000001
Wikipedia (en),Min-K%,10,12b,0.513631
Wikipedia (en),Min-K%,20,12b,0.529576
Wikipedia (en),Min-K%,30,12b,0.513169
Wikipedia (en),Min-K%,40,12b,0.506577
Wikipedia (en),Min-K%,50,12b,0.532663
Wikipedia (en),Min-K%,60,12b,0.5274139999999999
Wikipedia (en),Min-K%,70,12b,0.558873
Wikipedia (en),Min-K%,80,12b,0.530445
Wikipedia (en),Min-K%,90,12b,0.5498915
Wikipedia (en),Perplexity,0,160m,0.5003105
Wikipedia (en),Perplexity,10,160m,0.5083365
Wikipedia (en),Perplexity,20,160m,0.5107349999999999
Wikipedia (en),Perplexity,30,160m,0.5042105
Wikipedia (en),Perplexity,40,160m,0.518451
Wikipedia (en),Perplexity,50,160m,0.517473
Wikipedia (en),Perplexity,60,160m,0.5079035
Wikipedia (en),Perplexity,70,160m,0.538486
Wikipedia (en),Perplexity,80,160m,0.5157445
Wikipedia (en),Perplexity,90,160m,0.507002
Wikipedia (en),Perplexity,0,410m,0.5078355
Wikipedia (en),Perplexity,10,410m,0.508537
Wikipedia (en),Perplexity,20,410m,0.511428
Wikipedia (en),Perplexity,30,410m,0.5057015
Wikipedia (en),Perplexity,40,410m,0.5153245
Wikipedia (en),Perplexity,50,410m,0.517378
Wikipedia (en),Perplexity,60,410m,0.508751
Wikipedia (en),Perplexity,70,410m,0.5392600000000001
Wikipedia (en),Perplexity,80,410m,0.5107865
Wikipedia (en),Perplexity,90,410m,0.514869
Wikipedia (en),Perplexity,0,1b,0.5121829999999999
Wikipedia (en),Perplexity,10,1b,0.508526
Wikipedia (en),Perplexity,20,1b,0.5107245
Wikipedia (en),Perplexity,30,1b,0.5015799999999999
Wikipedia (en),Perplexity,40,1b,0.514038
Wikipedia (en),Perplexity,50,1b,0.5196689999999999
Wikipedia (en),Perplexity,60,1b,0.5059355
Wikipedia (en),Perplexity,70,1b,0.5419875000000001
Wikipedia (en),Perplexity,80,1b,0.5119125
Wikipedia (en),Perplexity,90,1b,0.520857
Wikipedia (en),Perplexity,0,2.8b,0.5225085
Wikipedia (en),Perplexity,10,2.8b,0.504629
Wikipedia (en),Perplexity,20,2.8b,0.516303
Wikipedia (en),Perplexity,30,2.8b,0.5088330000000001
Wikipedia (en),Perplexity,40,2.8b,0.500058
Wikipedia (en),Perplexity,50,2.8b,0.5309435
Wikipedia (en),Perplexity,60,2.8b,0.5142295
Wikipedia (en),Perplexity,70,2.8b,0.553664
Wikipedia (en),Perplexity,80,2.8b,0.520281
Wikipedia (en),Perplexity,90,2.8b,0.537077
Wikipedia (en),Perplexity,0,6.9b,0.5233925
Wikipedia (en),Perplexity,10,6.9b,0.505282
Wikipedia (en),Perplexity,20,6.9b,0.5155565
Wikipedia (en),Perplexity,30,6.9b,0.510096
Wikipedia (en),Perplexity,40,6.9b,0.5022075
Wikipedia (en),Perplexity,50,6.9b,0.5306839999999999
Wikipedia (en),Perplexity,60,6.9b,0.512539
Wikipedia (en),Perplexity,70,6.9b,0.5528345
Wikipedia (en),Perplexity,80,6.9b,0.5184525
Wikipedia (en),Perplexity,90,6.9b,0.5334605
Wikipedia (en),Perplexity,0,12b,0.5251224999999999
Wikipedia (en),Perplexity,10,12b,0.5077805
Wikipedia (en),Perplexity,20,12b,0.5190395
Wikipedia (en),Perplexity,30,12b,0.511551
