dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.5187029999999999
Wikipedia (en),Loss,100,160m,0.5136019999999999
Wikipedia (en),Loss,200,160m,0.5178915
Wikipedia (en),Loss,300,160m,0.520805
Wikipedia (en),Loss,400,160m,0.5088984210526316
Wikipedia (en),Loss,500,160m,0.501238219895288
Wikipedia (en),Loss,600,160m,0.5054893992932862
Wikipedia (en),Loss,700,160m,0.5027660455486542
Wikipedia (en),Loss,800,160m,0.5177394957983192
Wikipedia (en),Loss,900,160m,0.5069353741496598
Wikipedia (en),Loss,0,410m,0.5226425
Wikipedia (en),Loss,100,410m,0.512972
Wikipedia (en),Loss,200,410m,0.51884
Wikipedia (en),Loss,300,410m,0.5209794999999999
Wikipedia (en),Loss,400,410m,0.5137542105263159
Wikipedia (en),Loss,500,410m,0.5013821989528796
Wikipedia (en),Loss,600,410m,0.501666077738516
Wikipedia (en),Loss,700,410m,0.5044710144927536
Wikipedia (en),Loss,800,410m,0.5185504201680673
Wikipedia (en),Loss,900,410m,0.5089897959183673
Wikipedia (en),Loss,0,1b,0.5206735
Wikipedia (en),Loss,100,1b,0.5132829999999999
Wikipedia (en),Loss,200,1b,0.520248
Wikipedia (en),Loss,300,1b,0.5203335
Wikipedia (en),Loss,400,1b,0.5197068421052631
Wikipedia (en),Loss,500,1b,0.5010641361256545
Wikipedia (en),Loss,600,1b,0.5022994699646643
Wikipedia (en),Loss,700,1b,0.5037132505175983
Wikipedia (en),Loss,800,1b,0.5203151260504202
Wikipedia (en),Loss,900,1b,0.5068503401360545
Wikipedia (en),Loss,0,2.8b,0.524087
Wikipedia (en),Loss,100,2.8b,0.5222795
Wikipedia (en),Loss,200,2.8b,0.5323169999999999
Wikipedia (en),Loss,300,2.8b,0.5067425
Wikipedia (en),Loss,400,2.8b,0.5371652631578948
Wikipedia (en),Loss,500,2.8b,0.5115359947643979
Wikipedia (en),Loss,600,2.8b,0.5183321554770318
Wikipedia (en),Loss,700,2.8b,0.5067225672877846
Wikipedia (en),Loss,800,2.8b,0.53193837535014
Wikipedia (en),Loss,900,2.8b,0.5061819727891157
Wikipedia (en),Loss,0,6.9b,0.52215
Wikipedia (en),Loss,100,6.9b,0.5188785
Wikipedia (en),Loss,200,6.9b,0.5295895
Wikipedia (en),Loss,300,6.9b,0.511905
Wikipedia (en),Loss,400,6.9b,0.5349652631578947
Wikipedia (en),Loss,500,6.9b,0.5141799738219895
Wikipedia (en),Loss,600,6.9b,0.5169257950530035
Wikipedia (en),Loss,700,6.9b,0.5044440993788819
Wikipedia (en),Loss,800,6.9b,0.5271344537815126
Wikipedia (en),Loss,900,6.9b,0.5038095238095239
Wikipedia (en),Loss,0,12b,0.5268315
Wikipedia (en),Loss,100,12b,0.5242865
Wikipedia (en),Loss,200,12b,0.535382
Wikipedia (en),Loss,300,12b,0.509849
Wikipedia (en),Loss,400,12b,0.5397073684210526
Wikipedia (en),Loss,500,12b,0.5164175392670157
Wikipedia (en),Loss,600,12b,0.5206598939929329
Wikipedia (en),Loss,700,12b,0.5085900621118012
Wikipedia (en),Loss,800,12b,0.5314439775910365
Wikipedia (en),Loss,900,12b,0.5078707482993197
Wikipedia (en),Min-K%,0,160m,0.520782
Wikipedia (en),Min-K%,100,160m,0.5095915
Wikipedia (en),Min-K%,200,160m,0.516454
Wikipedia (en),Min-K%,300,160m,0.512292
Wikipedia (en),Min-K%,400,160m,0.5063547368421053
Wikipedia (en),Min-K%,500,160m,0.5026884816753927
Wikipedia (en),Min-K%,600,160m,0.5127429328621909
Wikipedia (en),Min-K%,700,160m,0.5095590062111801
Wikipedia (en),Min-K%,800,160m,0.5239243697478991
Wikipedia (en),Min-K%,900,160m,0.5064744897959184
Wikipedia (en),Min-K%,0,410m,0.5237339999999999
Wikipedia (en),Min-K%,100,410m,0.5077480000000001
Wikipedia (en),Min-K%,200,410m,0.518998
Wikipedia (en),Min-K%,300,410m,0.5173115
Wikipedia (en),Min-K%,400,410m,0.5085547368421053
Wikipedia (en),Min-K%,500,410m,0.5004476439790576
Wikipedia (en),Min-K%,600,410m,0.5064204946996467
Wikipedia (en),Min-K%,700,410m,0.5132929606625259
Wikipedia (en),Min-K%,800,410m,0.5227086834733894
Wikipedia (en),Min-K%,900,410m,0.5066224489795919
Wikipedia (en),Min-K%,0,1b,0.5202994999999999
Wikipedia (en),Min-K%,100,1b,0.510278
Wikipedia (en),Min-K%,200,1b,0.52108
Wikipedia (en),Min-K%,300,1b,0.5174529999999999
Wikipedia (en),Min-K%,400,1b,0.5166505263157894
Wikipedia (en),Min-K%,500,1b,0.5038259162303665
Wikipedia (en),Min-K%,600,1b,0.5024964664310954
Wikipedia (en),Min-K%,700,1b,0.5097142857142858
Wikipedia (en),Min-K%,800,1b,0.5257044817927171
Wikipedia (en),Min-K%,900,1b,0.5013061224489795
Wikipedia (en),Min-K%,0,2.8b,0.526493
Wikipedia (en),Min-K%,100,2.8b,0.5253909999999999
Wikipedia (en),Min-K%,200,2.8b,0.5368805000000001
Wikipedia (en),Min-K%,300,2.8b,0.502979
Wikipedia (en),Min-K%,400,2.8b,0.5374115789473685
Wikipedia (en),Min-K%,500,2.8b,0.5179293193717277
Wikipedia (en),Min-K%,600,2.8b,0.5158286219081272
Wikipedia (en),Min-K%,700,2.8b,0.5061801242236025
Wikipedia (en),Min-K%,800,2.8b,0.5440336134453782
Wikipedia (en),Min-K%,900,2.8b,0.5149591836734694
Wikipedia (en),Min-K%,0,6.9b,0.5235239999999999
Wikipedia (en),Min-K%,100,6.9b,0.522311
Wikipedia (en),Min-K%,200,6.9b,0.533348
Wikipedia (en),Min-K%,300,6.9b,0.502542
Wikipedia (en),Min-K%,400,6.9b,0.5379378947368421
Wikipedia (en),Min-K%,500,6.9b,0.5196348167539266
Wikipedia (en),Min-K%,600,6.9b,0.5132791519434629
Wikipedia (en),Min-K%,700,6.9b,0.5050124223602485
Wikipedia (en),Min-K%,800,6.9b,0.5358207282913166
Wikipedia (en),Min-K%,900,6.9b,0.5109523809523809
Wikipedia (en),Min-K%,0,12b,0.53225
Wikipedia (en),Min-K%,100,12b,0.5289220000000001
Wikipedia (en),Min-K%,200,12b,0.5425605
Wikipedia (en),Min-K%,300,12b,0.502189
Wikipedia (en),Min-K%,400,12b,0.5430136842105263
Wikipedia (en),Min-K%,500,12b,0.5227002617801048
Wikipedia (en),Min-K%,600,12b,0.5199010600706713
Wikipedia (en),Min-K%,700,12b,0.5115217391304347
Wikipedia (en),Min-K%,800,12b,0.543812324929972
Wikipedia (en),Min-K%,900,12b,0.5188027210884354
Wikipedia (en),Perplexity,0,160m,0.5187029999999999
Wikipedia (en),Perplexity,100,160m,0.5136019999999999
Wikipedia (en),Perplexity,200,160m,0.5178915
