dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.502497
Wikipedia (en),Loss,100,160m,0.517255
Wikipedia (en),Loss,200,160m,0.504448
Wikipedia (en),Loss,300,160m,0.518751
Wikipedia (en),Loss,400,160m,0.5086068421052632
Wikipedia (en),Loss,500,160m,0.5032611256544502
Wikipedia (en),Loss,600,160m,0.5048560070671378
Wikipedia (en),Loss,700,160m,0.5238002070393375
Wikipedia (en),Loss,800,160m,0.5218711484593838
Wikipedia (en),Loss,900,160m,0.515704081632653
Wikipedia (en),Loss,0,410m,0.5001575
Wikipedia (en),Loss,100,410m,0.514568
Wikipedia (en),Loss,200,410m,0.500942
Wikipedia (en),Loss,300,410m,0.517961
Wikipedia (en),Loss,400,410m,0.5143257894736842
Wikipedia (en),Loss,500,410m,0.5013612565445026
Wikipedia (en),Loss,600,410m,0.510422261484099
Wikipedia (en),Loss,700,410m,0.5228561076604554
Wikipedia (en),Loss,800,410m,0.5237044817927171
Wikipedia (en),Loss,900,410m,0.5214761904761904
Wikipedia (en),Loss,0,1b,0.5041815
Wikipedia (en),Loss,100,1b,0.5150075000000001
Wikipedia (en),Loss,200,1b,0.5017475
Wikipedia (en),Loss,300,1b,0.5175974999999999
Wikipedia (en),Loss,400,1b,0.5226036842105263
Wikipedia (en),Loss,500,1b,0.5017015706806283
Wikipedia (en),Loss,600,1b,0.518286219081272
Wikipedia (en),Loss,700,1b,0.5262142857142857
Wikipedia (en),Loss,800,1b,0.5255966386554622
Wikipedia (en),Loss,900,1b,0.5212534013605442
Wikipedia (en),Loss,0,2.8b,0.5163
Wikipedia (en),Loss,100,2.8b,0.52156
Wikipedia (en),Loss,200,2.8b,0.515997
Wikipedia (en),Loss,300,2.8b,0.5075934999999999
Wikipedia (en),Loss,400,2.8b,0.5439421052631579
Wikipedia (en),Loss,500,2.8b,0.5105301047120419
Wikipedia (en),Loss,600,2.8b,0.534482332155477
Wikipedia (en),Loss,700,2.8b,0.5365859213250517
Wikipedia (en),Loss,800,2.8b,0.5362254901960785
Wikipedia (en),Loss,900,2.8b,0.5088231292517007
Wikipedia (en),Loss,0,6.9b,0.512997
Wikipedia (en),Loss,100,6.9b,0.5225569999999999
Wikipedia (en),Loss,200,6.9b,0.5137700000000001
Wikipedia (en),Loss,300,6.9b,0.508736
Wikipedia (en),Loss,400,6.9b,0.5438142105263157
Wikipedia (en),Loss,500,6.9b,0.511925392670157
Wikipedia (en),Loss,600,6.9b,0.5335609540636043
Wikipedia (en),Loss,700,6.9b,0.5340383022774327
Wikipedia (en),Loss,800,6.9b,0.5325308123249299
Wikipedia (en),Loss,900,6.9b,0.511610544217687
Wikipedia (en),Loss,0,12b,0.5151190000000001
Wikipedia (en),Loss,100,12b,0.525622
Wikipedia (en),Loss,200,12b,0.5183415
Wikipedia (en),Loss,300,12b,0.509124
Wikipedia (en),Loss,400,12b,0.5489347368421053
Wikipedia (en),Loss,500,12b,0.5163383507853403
Wikipedia (en),Loss,600,12b,0.537423144876325
Wikipedia (en),Loss,700,12b,0.5371490683229814
Wikipedia (en),Loss,800,12b,0.5367997198879553
Wikipedia (en),Loss,900,12b,0.5068180272108843
Wikipedia (en),Min-K%,0,160m,0.505717
Wikipedia (en),Min-K%,100,160m,0.5172765
Wikipedia (en),Min-K%,200,160m,0.505703
Wikipedia (en),Min-K%,300,160m,0.520095
Wikipedia (en),Min-K%,400,160m,0.5098136842105263
Wikipedia (en),Min-K%,500,160m,0.5045170157068062
Wikipedia (en),Min-K%,600,160m,0.5015883392226148
Wikipedia (en),Min-K%,700,160m,0.5102163561076605
Wikipedia (en),Min-K%,800,160m,0.5276050420168068
Wikipedia (en),Min-K%,900,160m,0.5095357142857143
Wikipedia (en),Min-K%,0,410m,0.5067254999999999
Wikipedia (en),Min-K%,100,410m,0.515693
Wikipedia (en),Min-K%,200,410m,0.5012800000000001
Wikipedia (en),Min-K%,300,410m,0.517252
Wikipedia (en),Min-K%,400,410m,0.5165515789473685
Wikipedia (en),Min-K%,500,410m,0.5032657068062828
Wikipedia (en),Min-K%,600,410m,0.5075812720848056
Wikipedia (en),Min-K%,700,410m,0.5152277432712216
Wikipedia (en),Min-K%,800,410m,0.5233011204481792
Wikipedia (en),Min-K%,900,410m,0.5161972789115646
Wikipedia (en),Min-K%,0,1b,0.511151
Wikipedia (en),Min-K%,100,1b,0.519776
Wikipedia (en),Min-K%,200,1b,0.5006970000000001
Wikipedia (en),Min-K%,300,1b,0.5169090000000001
Wikipedia (en),Min-K%,400,1b,0.5261294736842106
Wikipedia (en),Min-K%,500,1b,0.5025366492146597
Wikipedia (en),Min-K%,600,1b,0.5179275618374559
Wikipedia (en),Min-K%,700,1b,0.5202298136645962
Wikipedia (en),Min-K%,800,1b,0.5264593837535014
Wikipedia (en),Min-K%,900,1b,0.5147244897959183
Wikipedia (en),Min-K%,0,2.8b,0.523709
Wikipedia (en),Min-K%,100,2.8b,0.526333
Wikipedia (en),Min-K%,200,2.8b,0.517937
Wikipedia (en),Min-K%,300,2.8b,0.502563
Wikipedia (en),Min-K%,400,2.8b,0.5486263157894737
Wikipedia (en),Min-K%,500,2.8b,0.5137159685863875
Wikipedia (en),Min-K%,600,2.8b,0.5382402826855124
Wikipedia (en),Min-K%,700,2.8b,0.5364202898550724
Wikipedia (en),Min-K%,800,2.8b,0.5427450980392157
Wikipedia (en),Min-K%,900,2.8b,0.502748299319728
Wikipedia (en),Min-K%,0,6.9b,0.521136
Wikipedia (en),Min-K%,100,6.9b,0.529301
Wikipedia (en),Min-K%,200,6.9b,0.5159969999999999
Wikipedia (en),Min-K%,300,6.9b,0.504047
Wikipedia (en),Min-K%,400,6.9b,0.549331052631579
Wikipedia (en),Min-K%,500,6.9b,0.5132650523560209
Wikipedia (en),Min-K%,600,6.9b,0.53838074204947
Wikipedia (en),Min-K%,700,6.9b,0.5328012422360249
Wikipedia (en),Min-K%,800,6.9b,0.5350728291316527
Wikipedia (en),Min-K%,900,6.9b,0.5020578231292517
Wikipedia (en),Min-K%,0,12b,0.521224
Wikipedia (en),Min-K%,100,12b,0.532824
Wikipedia (en),Min-K%,200,12b,0.51996
Wikipedia (en),Min-K%,300,12b,0.5026285
Wikipedia (en),Min-K%,400,12b,0.5533331578947368
Wikipedia (en),Min-K%,500,12b,0.5201465968586387
Wikipedia (en),Min-K%,600,12b,0.541416961130742
Wikipedia (en),Min-K%,700,12b,0.5387753623188405
Wikipedia (en),Min-K%,800,12b,0.5462072829131652
Wikipedia (en),Min-K%,900,12b,0.5050748299319728
Wikipedia (en),Perplexity,0,160m,0.502497
Wikipedia (en),Perplexity,100,160m,0.517255
Wikipedia (en),Perplexity,200,160m,0.504448
Wikipedia (en),Perplexity,300,160m,0.518751
Wikipedia (en),Perplexity,400,160m,0.5086068421052632
Wikipedia (en),Perplexity,500,160m,0.5032611256544502
Wikipedia (en),Perplexity,600,160m,0.5048560070671378
Wikipedia (en),Perplexity,700,160m,0.5238002070393375
Wikipedia (en),Perplexity,800,160m,0.5218711484593838
Wikipedia (en),Perplexity,900,160m,0.515704081632653
Wikipedia (en),Perplexity,0,410m,0.5001575
Wikipedia (en),Perplexity,100,410m,0.514568
Wikipedia (en),Perplexity,200,410m,0.500942
Wikipedia (en),Perplexity,300,410m,0.517961
Wikipedia (en),Perplexity,400,410m,0.5143257894736842
Wikipedia (en),Perplexity,500,410m,0.5013612565445026
Wikipedia (en),Perplexity,600,410m,0.510422261484099
Wikipedia (en),Perplexity,700,410m,0.5228561076604554
Wikipedia (en),Perplexity,800,410m,0.5237044817927171
Wikipedia (en),Perplexity,900,410m,0.5214761904761904
Wikipedia (en),Perplexity,0,1b,0.5041815
Wikipedia (en),Perplexity,100,1b,0.5150075000000001
Wikipedia (en),Perplexity,200,1b,0.5017475
Wikipedia (en),Perplexity,300,1b,0.5175974999999999
Wikipedia (en),Perplexity,400,1b,0.5226036842105263
Wikipedia (en),Perplexity,500,1b,0.5017015706806283
Wikipedia (en),Perplexity,600,1b,0.518286219081272
Wikipedia (en),Perplexity,700,1b,0.5262142857142857
Wikipedia (en),Perplexity,800,1b,0.5255966386554622
Wikipedia (en),Perplexity,900,1b,0.5212534013605442
Wikipedia (en),Perplexity,0,2.8b,0.5163
Wikipedia (en),Perplexity,100,2.8b,0.52156
Wikipedia (en),Perplexity,200,2.8b,0.515997
Wikipedia (en),Perplexity,300,2.8b,0.5075934999999999
Wikipedia (en),Perplexity,400,2.8b,0.5439421052631579
Wikipedia (en),Perplexity,500,2.8b,0.5105301047120419
Wikipedia (en),Perplexity,600,2.8b,0.534482332155477
Wikipedia (en),Perplexity,700,2.8b,0.5365859213250517
Wikipedia (en),Perplexity,800,2.8b,0.5362254901960785
Wikipedia (en),Perplexity,900,2.8b,0.5088231292517007
Wikipedia (en),Perplexity,0,6.9b,0.512997
Wikipedia (en),Perplexity,100,6.9b,0.5225569999999999
Wikipedia (en),Perplexity,200,6.9b,0.5137700000000001
Wikipedia (en),Perplexity,300,6.9b,0.508736
Wikipedia (en),Perplexity,400,6.9b,0.5438142105263157
Wikipedia (en),Perplexity,500,6.9b,0.511925392670157
Wikipedia (en),Perplexity,600,6.9b,0.5335609540636043
Wikipedia (en),Perplexity,700,6.9b,0.5340383022774327
Wikipedia (en),Perplexity,800,6.9b,0.5325308123249299
Wikipedia (en),Perplexity,900,6.9b,0.511610544217687
Wikipedia (en),Perplexity,0,12b,0.5151190000000001
Wikipedia (en),Perplexity,100,12b,0.525622
Wikipedia (en),Perplexity,200,12b,0.5183415
Wikipedia (en),Perplexity,300,12b,0.509124
