dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.5007064999999999
Wikipedia (en),Loss,10,160m,0.501137
Wikipedia (en),Loss,20,160m,0.5206679999999999
Wikipedia (en),Loss,30,160m,0.507056
Wikipedia (en),Loss,40,160m,0.5158995
Wikipedia (en),Loss,50,160m,0.5092135
Wikipedia (en),Loss,60,160m,0.530995
Wikipedia (en),Loss,70,160m,0.5081114999999999
Wikipedia (en),Loss,80,160m,0.516487
Wikipedia (en),Loss,90,160m,0.5099015
Wikipedia (en),Loss,0,410m,0.506938
Wikipedia (en),Loss,10,410m,0.5025775
Wikipedia (en),Loss,20,410m,0.5147670000000001
Wikipedia (en),Loss,30,410m,0.5081694999999999
Wikipedia (en),Loss,40,410m,0.5179995
Wikipedia (en),Loss,50,410m,0.506687
Wikipedia (en),Loss,60,410m,0.53666
Wikipedia (en),Loss,70,410m,0.510906
Wikipedia (en),Loss,80,410m,0.521078
Wikipedia (en),Loss,90,410m,0.5122245000000001
Wikipedia (en),Loss,0,1b,0.5102214999999999
Wikipedia (en),Loss,10,1b,0.5013375
Wikipedia (en),Loss,20,1b,0.5140985
Wikipedia (en),Loss,30,1b,0.504759
Wikipedia (en),Loss,40,1b,0.5147295000000001
Wikipedia (en),Loss,50,1b,0.5061100000000001
Wikipedia (en),Loss,60,1b,0.5363745
Wikipedia (en),Loss,70,1b,0.512707
Wikipedia (en),Loss,80,1b,0.5182025
Wikipedia (en),Loss,90,1b,0.5192585
Wikipedia (en),Loss,0,2.8b,0.5214195
Wikipedia (en),Loss,10,2.8b,0.511628
Wikipedia (en),Loss,20,2.8b,0.5155765
Wikipedia (en),Loss,30,2.8b,0.513263
Wikipedia (en),Loss,40,2.8b,0.502176
Wikipedia (en),Loss,50,2.8b,0.505424
Wikipedia (en),Loss,60,2.8b,0.5314059999999999
Wikipedia (en),Loss,70,2.8b,0.52592
Wikipedia (en),Loss,80,2.8b,0.5034265
Wikipedia (en),Loss,90,2.8b,0.5359365
Wikipedia (en),Loss,0,6.9b,0.5186095
Wikipedia (en),Loss,10,6.9b,0.5091650000000001
Wikipedia (en),Loss,20,6.9b,0.5165500000000001
Wikipedia (en),Loss,30,6.9b,0.512688
Wikipedia (en),Loss,40,6.9b,0.5026745
Wikipedia (en),Loss,50,6.9b,0.504456
Wikipedia (en),Loss,60,6.9b,0.5322495
Wikipedia (en),Loss,70,6.9b,0.5245145
Wikipedia (en),Loss,80,6.9b,0.5058775000000001
Wikipedia (en),Loss,90,6.9b,0.5295055
Wikipedia (en),Loss,0,12b,0.522118
Wikipedia (en),Loss,10,12b,0.5105135
Wikipedia (en),Loss,20,12b,0.5182
Wikipedia (en),Loss,30,12b,0.514688
Wikipedia (en),Loss,40,12b,0.5016695
Wikipedia (en),Loss,50,12b,0.5107045000000001
Wikipedia (en),Loss,60,12b,0.530274
Wikipedia (en),Loss,70,12b,0.5274625
Wikipedia (en),Loss,80,12b,0.5022565
Wikipedia (en),Loss,90,12b,0.5355835
Wikipedia (en),Min-K%,0,160m,0.5037235
Wikipedia (en),Min-K%,10,160m,0.504522
Wikipedia (en),Min-K%,20,160m,0.5176660000000001
Wikipedia (en),Min-K%,30,160m,0.5129900000000001
Wikipedia (en),Min-K%,40,160m,0.512987
Wikipedia (en),Min-K%,50,160m,0.5195339999999999
Wikipedia (en),Min-K%,60,160m,0.535519
Wikipedia (en),Min-K%,70,160m,0.5078199999999999
Wikipedia (en),Min-K%,80,160m,0.506642
Wikipedia (en),Min-K%,90,160m,0.507648
Wikipedia (en),Min-K%,0,410m,0.509434
Wikipedia (en),Min-K%,10,410m,0.5038250000000001
Wikipedia (en),Min-K%,20,410m,0.513781
Wikipedia (en),Min-K%,30,410m,0.513417
Wikipedia (en),Min-K%,40,410m,0.5133415
Wikipedia (en),Min-K%,50,410m,0.5145175
Wikipedia (en),Min-K%,60,410m,0.5424325
Wikipedia (en),Min-K%,70,410m,0.509105
Wikipedia (en),Min-K%,80,410m,0.511553
Wikipedia (en),Min-K%,90,410m,0.514494
Wikipedia (en),Min-K%,0,1b,0.5126710000000001
Wikipedia (en),Min-K%,10,1b,0.501652
Wikipedia (en),Min-K%,20,1b,0.511484
Wikipedia (en),Min-K%,30,1b,0.5092679999999999
Wikipedia (en),Min-K%,40,1b,0.5103880000000001
Wikipedia (en),Min-K%,50,1b,0.510247
Wikipedia (en),Min-K%,60,1b,0.538312
Wikipedia (en),Min-K%,70,1b,0.512518
Wikipedia (en),Min-K%,80,1b,0.506379
Wikipedia (en),Min-K%,90,1b,0.5244155
Wikipedia (en),Min-K%,0,2.8b,0.526696
Wikipedia (en),Min-K%,10,2.8b,0.513595
Wikipedia (en),Min-K%,20,2.8b,0.513083
Wikipedia (en),Min-K%,30,2.8b,0.521549
Wikipedia (en),Min-K%,40,2.8b,0.504168
Wikipedia (en),Min-K%,50,2.8b,0.5066895
Wikipedia (en),Min-K%,60,2.8b,0.5285759999999999
Wikipedia (en),Min-K%,70,2.8b,0.529816
Wikipedia (en),Min-K%,80,2.8b,0.513532
Wikipedia (en),Min-K%,90,2.8b,0.5465445
Wikipedia (en),Min-K%,0,6.9b,0.525487
Wikipedia (en),Min-K%,10,6.9b,0.510942
Wikipedia (en),Min-K%,20,6.9b,0.517777
Wikipedia (en),Min-K%,30,6.9b,0.523076
Wikipedia (en),Min-K%,40,6.9b,0.50543
Wikipedia (en),Min-K%,50,6.9b,0.504808
Wikipedia (en),Min-K%,60,6.9b,0.5296335000000001
Wikipedia (en),Min-K%,70,6.9b,0.526965
Wikipedia (en),Min-K%,80,6.9b,0.5106285
Wikipedia (en),Min-K%,90,6.9b,0.535714
Wikipedia (en),Min-K%,0,12b,0.528083
Wikipedia (en),Min-K%,10,12b,0.5133795
Wikipedia (en),Min-K%,20,12b,0.519035
Wikipedia (en),Min-K%,30,12b,0.525682
Wikipedia (en),Min-K%,40,12b,0.510094
Wikipedia (en),Min-K%,50,12b,0.513924
Wikipedia (en),Min-K%,60,12b,0.525315
Wikipedia (en),Min-K%,70,12b,0.53026
Wikipedia (en),Min-K%,80,12b,0.516657
Wikipedia (en),Min-K%,90,12b,0.5455845
Wikipedia (en),Perplexity,0,160m,0.5007064999999999
Wikipedia (en),Perplexity,10,160m,0.501137
Wikipedia (en),Perplexity,20,160m,0.5206679999999999
Wikipedia (en),Perplexity,30,160m,0.507056
Wikipedia (en),Perplexity,40,160m,0.5158995
Wikipedia (en),Perplexity,50,160m,0.5092135
Wikipedia (en),Perplexity,60,160m,0.530995
Wikipedia (en),Perplexity,70,160m,0.5081114999999999
Wikipedia (en),Perplexity,80,160m,0.516487
Wikipedia (en),Perplexity,90,160m,0.5099015
Wikipedia (en),Perplexity,0,410m,0.506938
Wikipedia (en),Perplexity,10,410m,0.5025775
Wikipedia (en),Perplexity,20,410m,0.5147670000000001
Wikipedia (en),Perplexity,30,410m,0.5081694999999999
Wikipedia (en),Perplexity,40,410m,0.5179995
Wikipedia (en),Perplexity,50,410m,0.506687
Wikipedia (en),Perplexity,60,410m,0.53666
Wikipedia (en),Perplexity,70,410m,0.510906
Wikipedia (en),Perplexity,80,410m,0.521078
Wikipedia (en),Perplexity,90,410m,0.5122245000000001
Wikipedia (en),Perplexity,0,1b,0.5102214999999999
Wikipedia (en),Perplexity,10,1b,0.5013375
Wikipedia (en),Perplexity,20,1b,0.5140985
Wikipedia (en),Perplexity,30,1b,0.504759
Wikipedia (en),Perplexity,40,1b,0.5147295000000001
Wikipedia (en),Perplexity,50,1b,0.5061100000000001
Wikipedia (en),Perplexity,60,1b,0.5363745
Wikipedia (en),Perplexity,70,1b,0.512707
Wikipedia (en),Perplexity,80,1b,0.5182025
Wikipedia (en),Perplexity,90,1b,0.5192585
Wikipedia (en),Perplexity,0,2.8b,0.5214195
Wikipedia (en),Perplexity,10,2.8b,0.511628
Wikipedia (en),Perplexity,20,2.8b,0.5155765
Wikipedia (en),Perplexity,30,2.8b,0.513263
Wikipedia (en),Perplexity,40,2.8b,0.502176
Wikipedia (en),Perplexity,50,2.8b,0.505424
Wikipedia (en),Perplexity,60,2.8b,0.5314059999999999
Wikipedia (en),Perplexity,70,2.8b,0.52592
Wikipedia (en),Perplexity,80,2.8b,0.5034265
Wikipedia (en),Perplexity,90,2.8b,0.5359365
Wikipedia (en),Perplexity,0,6.9b,0.5186095
Wikipedia (en),Perplexity,10,6.9b,0.5091650000000001
Wikipedia (en),Perplexity,20,6.9b,0.5165500000000001
Wikipedia (en),Perplexity,30,6.9b,0.512688
Wikipedia (en),Perplexity,40,6.9b,0.5026745
Wikipedia (en),Perplexity,50,6.9b,0.504456
Wikipedia (en),Perplexity,60,6.9b,0.5322495
Wikipedia (en),Perplexity,70,6.9b,0.5245145
Wikipedia (en),Perplexity,80,6.9b,0.5058775000000001
Wikipedia (en),Perplexity,90,6.9b,0.5295055
Wikipedia (en),Perplexity,0,12b,0.522118
Wikipedia (en),Perplexity,10,12b,0.5105135
Wikipedia (en),Perplexity,20,12b,0.5182
Wikipedia (en),Perplexity,30,12b,0.514688
Wikipedia (en),Perplexity,40,12b,0.5016695
Wikipedia (en),Perplexity,50,12b,0.5107045000000001
Wikipedia (en),Perplexity,60,12b,0.530274
Wikipedia (en),Perplexity,70,12b,0.5274625
Wikipedia (en),Perplexity,80,12b,0.5022565
Wikipedia (en),Perplexity,90,12b,0.5355835
Wikipedia (en),Min-K% ++,0,160m,0.517571
Wikipedia (en),Min-K% ++,10,160m,0.5145010000000001
Wikipedia (en),Min-K% ++,20,160m,0.517235
Wikipedia (en),Min-K% ++,30,160m,0.506396
Wikipedia (en),Min-K% ++,40,160m,0.511347
Wikipedia (en),Min-K% ++,50,160m,0.520978
Wikipedia (en),Min-K% ++,60,160m,0.5053799999999999
Wikipedia (en),Min-K% ++,70,160m,0.507109
Wikipedia (en),Min-K% ++,80,160m,0.5027515
Wikipedia (en),Min-K% ++,90,160m,0.511432
Wikipedia (en),Min-K% ++,0,410m,0.504148
Wikipedia (en),Min-K% ++,10,410m,0.510084
Wikipedia (en),Min-K% ++,20,410m,0.51557
Wikipedia (en),Min-K% ++,30,410m,0.515889
Wikipedia (en),Min-K% ++,40,410m,0.506051
Wikipedia (en),Min-K% ++,50,410m,0.5249379999999999
Wikipedia (en),Min-K% ++,60,410m,0.510416
Wikipedia (en),Min-K% ++,70,410m,0.510995
Wikipedia (en),Min-K% ++,80,410m,0.5069859999999999
Wikipedia (en),Min-K% ++,90,410m,0.509157
Wikipedia (en),Min-K% ++,0,1b,0.500084
Wikipedia (en),Min-K% ++,10,1b,0.512522
Wikipedia (en),Min-K% ++,20,1b,0.5161180000000001
Wikipedia (en),Min-K% ++,30,1b,0.5134750000000001
Wikipedia (en),Min-K% ++,40,1b,0.5064010000000001
Wikipedia (en),Min-K% ++,50,1b,0.50642
Wikipedia (en),Min-K% ++,60,1b,0.512315
Wikipedia (en),Min-K% ++,70,1b,0.526026
Wikipedia (en),Min-K% ++,80,1b,0.5062840000000001
Wikipedia (en),Min-K% ++,90,1b,0.52124
Wikipedia (en),Min-K% ++,0,2.8b,0.524457
Wikipedia (en),Min-K% ++,10,2.8b,0.5039009999999999
Wikipedia (en),Min-K% ++,20,2.8b,0.5259830000000001
Wikipedia (en),Min-K% ++,30,2.8b,0.54128
Wikipedia (en),Min-K% ++,40,2.8b,0.521958
Wikipedia (en),Min-K% ++,50,2.8b,0.52262
Wikipedia (en),Min-K% ++,60,2.8b,0.50924
Wikipedia (en),Min-K% ++,70,2.8b,0.5608295
Wikipedia (en),Min-K% ++,80,2.8b,0.5513189999999999
Wikipedia (en),Min-K% ++,90,2.8b,0.564505
Wikipedia (en),Min-K% ++,0,6.9b,0.517987
Wikipedia (en),Min-K% ++,10,6.9b,0.501059
Wikipedia (en),Min-K% ++,20,6.9b,0.527455
Wikipedia (en),Min-K% ++,30,6.9b,0.542305
Wikipedia (en),Min-K% ++,40,6.9b,0.520502
Wikipedia (en),Min-K% ++,50,6.9b,0.523175
Wikipedia (en),Min-K% ++,60,6.9b,0.505097
Wikipedia (en),Min-K% ++,70,6.9b,0.5548015
Wikipedia (en),Min-K% ++,80,6.9b,0.546169
Wikipedia (en),Min-K% ++,90,6.9b,0.548721
Wikipedia (en),Min-K% ++,0,12b,0.524001
Wikipedia (en),Min-K% ++,10,12b,0.502559
Wikipedia (en),Min-K% ++,20,12b,0.533507
Wikipedia (en),Min-K% ++,30,12b,0.5466059999999999
Wikipedia (en),Min-K% ++,40,12b,0.527073
Wikipedia (en),Min-K% ++,50,12b,0.53066
Wikipedia (en),Min-K% ++,60,12b,0.513974
Wikipedia (en),Min-K% ++,70,12b,0.558232
Wikipedia (en),Min-K% ++,80,12b,0.553858
Wikipedia (en),Min-K% ++,90,12b,0.5596085000000001
